S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
1,2021060303070876,NIFRA,49,14,59,533,31447.00
2,2021060303070875,NIFRA,49,58,50,533,26650.00
3,2021060303070874,NIFRA,49,34,10,533,5330.00
4,2021060303070873,NIFRA,49,8,20,533,10660.00
5,2021060303070872,NIFRA,49,59,151,533,80483.00
6,2021060303070871,NRIC,49,58,340,1765,600100.00
7,2021060303070870,CIT,49,49,10,3976,39760.00
8,2021060303070869,CIT,57,49,10,3976,39760.00
9,2021060303070868,CIT,52,49,16,3976,63616.00
10,2021060303070867,CIT,38,49,26,3976,103376.00
11,2021060303070866,CIT,44,49,25,3977,99425.00
12,2021060301045084,PRVU,49,48,33,460,15180.00
13,2021060304038968,EIC,49,34,20,754,15080.00
14,2021060303070865,CIT,53,49,10,3977,39770.00
15,2021060301045083,CBL,34,38,263,285,74955.00
16,2021060301045082,CBL,34,29,334,285,95190.00
17,2021060301045081,CBL,34,7,50,285,14250.00
18,2021060301045080,CBL,34,3,200,285,57000.00
19,2021060301045079,CBL,34,25,400,285,114000.00
20,2021060301045078,CBL,34,45,77,285,21945.00
